en,fr,de,es,ja,it,he
a,un,A,a,a,UN,א
about,à propos,um,acerca de,について,Di,על אודות
all,tous,alle,todo,全て,Tutto,את כל
also,aussi,Auch,también,また,Anche,גַם
and,et,Und,y,そして,E,וכן
as,comme,als,como,として,COME,כפי ש
at,à,bei,en,で,A,בְּ-
be,être,Sei,ser,なれ,Essere,לִהיוֹת
because,parce que,Weil,porque,なぜなら,Perché,כי
but,mais,Aber,pero,しかし,Ma,אבל
by,par,von,por,による,di,על ידי
can,peut,dürfen,poder,できる,Potere,פחית
come,viens,kommen,venir,来る,Venire,לבוא
could,pourrait,könnte,podría,できた,Potevo,הָיָה יָכוֹל
day,jour,Tag,día,日,giorno,יְוֹם
do,faire,Tun,hacer,する,Fare,לַעֲשׂוֹת
even,même,sogar,incluso,平,Anche,אֲפִילוּ
find,trouver,finden,encontrar,探す,Trovare,למצוא
first,d'abord,Erste,primero,初め,Primo,ראשון
for,pour,für,para,のために,per,ל
from,depuis,aus,de,から,da,מ
get,obtenir,erhalten,conseguir,得る,Ottenere,לקבל
give,donner,geben,dar,与える,Dare,לָתֵת
go,aller,gehen,ir,行く,andare,ללכת
have,avoir,haben,tener,持っている,Avere,יש
he,il,Er,él,彼,Lui,הוא
her,son,ihr,su,彼女,suo,שֶׁלָה
here,ici,Hier,aquí,ここ,Qui,כאן
him,lui,ihn,a él,彼,lui,אוֹתוֹ
his,son,sein,su,彼の,il suo,שֶׁלוֹ
how,comment,Wie,cómo,どうやって,Come,אֵיך
I,je,ICH,I,私,IO,אני
if,si,Wenn,si,もし,Se,אם
in,dans,In,en,で,In,ב
into,dans,hinein,en,の中へ,in,לְתוֹך
it,il,Es,él,それ,Esso,זה
its,c'est,es ist,es,その,suo,שֶׁלָה
just,juste,Nur,justo,ただ,Appena,רַק
know,savoir,wissen,saber,知る,Sapere,לָדַעַת
like,comme,wie,como,のように,Piace,כמו
look,regarder,sehen,mirar,見て,Aspetto,תראה
make,faire,machen,hacer,作る,Fare,עשה
man,homme,Mann,hombre,男,Uomo,איש
many,beaucoup,viele,muchos,多くの,molti,רב
me,moi,Mich,a mí,自分,Me,לִי
more,plus,mehr,más,もっと,Di più,יותר
my,mon,Mein,mi,私の,Mio,שֶׁלִי
new,nouveau,neu,nuevo,新しい,nuovo,חָדָשׁ
no,Non,NEIN,No,いいえ,NO,לא
not,pas,nicht,no,ない,non,לֹא
now,maintenant,Jetzt,ahora,今,Ora,עַכשָׁיו
of,de,von,de,の,Di,שֶׁל
on,sur,An,en,の上,SU,עַל
one,un,eins,uno,1つ,uno,אחד
only,seulement,nur,solo,のみ,soltanto,רק
or,ou,oder,o,または,O,אוֹ
other,autre,andere,otro,他の,altro,אַחֵר
our,notre,unser,nuestro,私たちの,Nostro,שֶׁלָנוּ
out,dehors,aus,afuera,外,fuori,הַחוּצָה
people,personnes,Menschen,gente,人々,persone,אֲנָשִׁים
say,dire,sagen,decir,言う,Dire,אמר
see,voir,sehen,ver,見る,Vedere,לִרְאוֹת
she,elle,sie,ella,彼女,Lei,היא
so,donc,Also,entonces,それで,COSÌ,כך
some,quelques,manche,alguno,いくつかの,Alcuni,כמה
take,prendre,nehmen,llevar,取る,Prendere,לקחת
tell,dire,erzählen,decir,教えて,raccontare,לאמר
than,que,als,que,よりも,di,מאשר
that,que,Das,eso,それ,Quello,זֶה
the,le,Die,el,,IL,ה
their,leur,ihre,su,彼らの,loro,שֶׁלָהֶם
them,eux,ihnen,a ellos,彼ら,loro,אוֹתָם
then,alors,Dann,entonces,それから,Poi,לאחר מכן
there,là,Dort,allá,そこには,Là,שם
these,ces,diese,estos,これら,questi,אלה
they,ils,Sie,ellos,彼らは,Essi,הֵם
thing,chose,Ding,cosa,もの,cosa,דָבָר
think,pense,denken,pensar,考える,pensare,לַחשׁוֹב
this,ce,Das,este,これ,Questo,זֶה
those,ceux,diese,aquellos,それらの,quelli,הָהֵן
time,temps,Zeit,tiempo,時間,tempo,זְמַן
to,à,Zu,a,に,A,ל
two,deux,zwei,dos,二,due,שתיים
up,en haut,hoch,arriba,上,su,לְמַעלָה
use,utiliser,verwenden,usar,使用,utilizzo,להשתמש
very,très,sehr,muy,とても,molto,מאוד
want,vouloir,wollen,desear,欲しい,Volere,רוצה
way,chemin,Weg,forma,方法,modo,דֶרֶך
we,nous,Wir,nosotros,私たちは,Noi,אָנוּ
well,Bien,Also,Bueno,良い,BENE,נו
what,quoi,Was,qué,何,Che cosa,מה
when,quand,Wann,cuando,いつ,Quando,מתי
which,lequel,welche,cual,どれの,Quale,איזה
who,OMS,WHO,OMS,誰が,Chi,מי
will,volonté,Wille,voluntad,意思,Volere,רָצוֹן
with,avec,mit,con,と,con,עם
would,serait,würde,haría,します,volevo,היה
year,année,Jahr,año,年,anno,שָׁנָה
you,toi,Du,tú,あなた,Voi,אתה
your,ton,dein,su,あなたの,tuo,שֶׁלְךָ
